Serial Number,ID,Public/Private,System,Name,Eng. Name,Postal Code,Latitude,Longitude,Address,City,County,Neighborhood,County (zh)
83,1035,Private,一般大學,中國醫藥大學,CHINA MEDICAL UNIVERSITY,40402,24.15634,120.6811,"No. 91, Xue Shi Rd., North District, Taichung City, 404, Taiwan",Taichung City,Taichung City,North District,臺中市
84,1036,Private,技專校院,健行學校財團法人健行科技大學,Chien Hsin University of Science and Technology,32097,24.94758,121.22853,"No. 229, Jian Xing Rd., Zhongli District, Taoyuan City, 320, Taiwan",Taoyuan City,Taoyuan City,Zhongli District,桃園市
85,1037,Private,技專校院,正修學校財團法人正修科技大學,Cheng Shiu University,83347,22.65078,120.34965,"No. 840, Cheng Qing Rd., Niaosong District, Kaohsiung City, 833, Taiwan",Kaohsiung City,Kaohsiung City,Niaosong District,高雄市
86,1038,Private,技專校院,萬能學校財團法人萬能科技大學,Vanung University,32061,24.99059,121.23243,"No. 1, Wan Neng Rd., Zhongli District, Taoyuan City, 320, Taiwan",Taoyuan City,Taoyuan City,Zhongli District,桃園市
87,1039,Private,一般大學,玄奘大學,Hsuan Chuang University,30092,24.77571,120.94339,"No. 48, Xuan Zang Rd., Siangshan District, Hsinchu City, 300, Taiwan",Hsinchu City,Hsinchu City,Siangshan District,新竹市
88,1040,Private,技專校院,建國科技大學,Chienkuo Technology University,50094,24.06659,120.54933,"No. 1, Jie Shou N. Rd., Jian Bao Vil., Changhua City, Changhua County 500, Taiwan",Changhua City,Changhua County,Jian Bao Vil.,彰化縣
89,1041,Private,技專校院,明志科技大學,Ming Chi University of Technology,24301,25.04059,121.42225,"No. 84, Gong Zhuan Rd., Taishan District, New Taipei City, 243, Taiwan",New Taipei City,New Taipei City,Taishan District,新北市
90,1042,Private,技專校院,高苑科技大學,Kao Yuan University,82151,22.84109,120.26645,"No. 1821, Zhong Shan Rd., Lujhu District, Kaohsiung City, 821, Taiwan",Kaohsiung City,Kaohsiung City,Lujhu District,高雄市
91,1043,Private,技專校院,大仁科技大學,Tajen University,90741,22.72684,120.54312,"No. 20, Wei Sin Rd., Xin Er Vil., Yanpu Township, Pingtung County 907, Taiwan",Yanpu Township,Pingtung County,Xin Er Vil.,屏東縣
92,1044,Private,技專校院,聖約翰科技大學,St. John’s University,25135,25.22698,121.45168,"No. 499, Sec 4, Dan Jin Rd., Tamsui District, New Taipei City, 251, Taiwan",New Taipei City,New Taipei City,Tamsui District,新北市
93,1045,Private,技專校院,嶺東科技大學,Ling Tung University,40852,24.13776,120.60961,"No. 1, Ling Dong Rd., Nantun District, Taichung City, 408, Taiwan",Taichung City,Taichung City,Nantun District,臺中市
94,1046,Private,技專校院,中國科技大學,China University of Technology,11695,24.99926,121.55541,"No. 56, Sec 3, Xing Long Rd., Wenshan District, Taipei City, 116, Taiwan",Taipei City,Taipei City,Wenshan District,臺北市
95,1047,Private,技專校院,中臺科技大學,Central Taiwan University of Science and Technology,40601,24.1702206,120.7335374,"No. 660, Buzi Rd., Beitun District, Taichung City, 406, Taiwan",Taichung City,Taichung City,Beitun District,臺中市
96,1048,Private,一般大學,亞洲大學,Asia University,41354,24.04702,120.68468,"No. 500, Liu Feng Rd., Wufeng District, Taichung City, 413, Taiwan",Taichung City,Taichung City,Wufeng District,臺中市
97,1049,Private,一般大學,開南大學,Kainan University,33857,25.01078,121.27156,"No. 1, Kai Nan Rd., Luzhu District, Taoyuan City, 338, Taiwan",Taoyuan City,Taoyuan City,Luzhu District,桃園市
98,1050,Private,一般大學,佛光大學,Fo Guang University,26247,24.81618,121.72191,"No. 160, Lin Wei Rd., Lin Mei Vil., Jiaoxi Township, Yilan County 262, Taiwan",Jiaoxi Township,Yilan County,Lin Mei Vil.,宜蘭縣
99,1051,Private,技專校院,台南家專學校財團法人台南應用科技大學,Tainan School of Home Economics Foundation at Tainan University of Technology,71002,23.03932,120.23859,"No. 529, Jhong Jheng Rd., Yongkang District, Tainan City, 710, Taiwan",Tainan City,Tainan City,Yongkang District,臺南市
100,1052,Private,技專校院,遠東科技大學,Far East University,74448,23.06483,120.29482,"No. 49, Jhong Hua Rd., Sinshih District, Tainan City, 744, Taiwan",Tainan City,Tainan City,Sinshih District,臺南市
101,1053,Private,技專校院,光宇學校財團法人元培醫事科技大學,Yuanpei University of Medical Technology,30015,24.77784,120.94038,"No. 306, Yuan Pei St., Siangshan District, Hsinchu City, 300, Taiwan",Hsinchu City,Hsinchu City,Siangshan District,新竹市
102,1054,Private,技專校院,景文科技大學,Jinwen University of Science and Technology,23154,24.95199,121.50928,"No. 99, An Zhong Rd., Xindian District, New Taipei City, 231, Taiwan",New Taipei City,New Taipei City,Xindian District,新北市
103,1055,Private,技專校院,中華醫事科技大學,Chung Hwa University of Medical Technology,71703,22.96084,120.24325,"No. 89, Wun Hua 1st St., Rende District, Tainan City, 717, Taiwan",Tainan City,Tainan City,Rende District,臺南市
104,1056,Private,技專校院,東南科技大學,Tungnan University,22202,25.00444,121.60474,"No. 152, Sec 3, Bei Shen Rd., Shenkeng District, New Taipei City, 222, Taiwan",New Taipei City,New Taipei City,Shenkeng District,新北市
105,1057,Private,技專校院,德明財經科技大學,Takming University of Science and Technology,11451,25.08649,121.56562,"No. 56, Sec 1, Huan Shan Rd., Neihu District, Taipei City, 114, Taiwan",Taipei City,Taipei City,Neihu District,臺北市
106,1058,Private,一般大學,明道學校財團法人明道大學,MINGDAO UNIVERSITY,52345,23.86935,120.49473,"No. 369, Wen Hua Rd., Yuan Pu Vil., Pitou Township, Changhua County 523, Taiwan",Pitou Township,Changhua County,Yuan Pu Vil.,彰化縣
107,1060,Private,技專校院,南開科技大學,Nan Kai University of Technology,54243,23.97915,120.69688,"No. 568, Jhong Jheng Rd., Fu Liao Vil., Caotun Township, Nantou County 542, Taiwan",Caotun Township,Nantou County,Fu Liao Vil.,南投縣
108,1061,Private,技專校院,中華學校財團法人中華科技大學,China University of Science and Technology,11581,25.03359,121.60992,"No. 245, Sec 3, Academia Rd., Nangang District, Taipei City, 115, Taiwan",Taipei City,Taipei City,Nangang District,臺北市
109,1062,Private,技專校院,僑光科技大學,Overseas Chinese University,40721,24.18911,120.64319,"No. 100, Qiao Guang Rd., Xitun District, Taichung City, 407, Taiwan",Taichung City,Taichung City,Xitun District,臺中市
110,1063,Private,技專校院,廣亞學校財團法人育達科技大學,Yu Da University of Science and Technology,36143,24.64964,120.84259,"No. 168, Xue Fu Rd., Tan Wen Vil., Zaoqiao Township, Miaoli County 361, Taiwan",Zaoqiao Township,Miaoli County,Tan Wen Vil.,苗栗縣
111,1064,Private,技專校院,美和學校財團法人美和科技大學,Meiho University,91202,22.60368,120.56073,"No. 23, Ping Guang Rd., Nei Tian Vil., Neipu Township, Pingtung County 912, Taiwan",Neipu Township,Pingtung County,Nei Tian Vil.,屏東縣
112,1065,Private,技專校院,吳鳳科技大學,WuFeng University,62153,23.53517,120.4363,"No. 117, Sec 2, Jian Guo Rd., Wen Long Vil., Minxiong Township, Chiayi County 621, Taiwan",Minxiong Township,Chiayi County,Wen Long Vil.,嘉義縣
113,1066,Private,技專校院,環球學校財團法人環球科技大學,TransWorld University,64063,23.68046,120.55553,"No. 1221, Jhen Nan Rd., Jia Dong Vil., Douliou City, Yunlin County 640, Taiwan",Douliou City,Yunlin County,Jia Dong Vil.,雲林縣
114,1067,Private,一般大學,台灣首府學校財團法人台灣首府大學,Taiwan Shoufu University,72153,23.19198,120.27069,"No. 168, 南勢里, Madou District, Tainan City, 721, Taiwan",Tainan City,Tainan City,Madou District,臺南市
115,1068,Private,技專校院,中州學校財團法人中州科技大學,Chung Chou University of Science and Technology,51003,23.95774,120.60451,"No. 6, Lane 2, Sec 3, Shan Jiao Rd., Zhen Xing Vil., Yuanlin City, Changhua County 510, Taiwan",Yuanlin City,Changhua County,Zhen Xing Vil.,彰化縣
116,1069,Private,技專校院,修平學校財團法人修平科技大學,Hsiuping University of Science and Technology,41280,24.09544,120.71359,"No. 11, Gong Ye Rd., Dali District, Taichung City, 412, Taiwan",Taichung City,Taichung City,Dali District,臺中市
117,1070,Private,技專校院,長庚學校財團法人長庚科技大學,Chang Gung University of Science and Technology,33303,25.03053,121.38956,"No. 261, Wen Hua 1st Rd., Guishan District, Taoyuan City, 333, Taiwan",Taoyuan City,Taoyuan City,Guishan District,桃園市
118,1071,Private,技專校院,城市學校財團法人臺北城市科技大學,Taipei City University of Science and Technology,11202,25.13133,121.46806,"No. 2, Xue Yuan Rd., Beitou District, Taipei City, 112, Taiwan",Taipei City,Taipei City,Beitou District,臺北市
119,1072,Private,技專校院,大華學校財團法人敏實科技大學,Minth University of Science and Technology,30740,24.77732,121.09061,"No. 1, Da Hua Rd., Shui Keng Vil., Qionglin Township, Hsinchu County 307, Taiwan",Qionglin Township,Hsinchu County,Shui Keng Vil.,新竹縣
120,1073,Private,技專校院,醒吾學校財團法人醒吾科技大學,Hsing Wu University of Science and Technology,24452,25.08076,121.39667,"No. 101, Sec 1, Fen Liao Rd., Linkou District, New Taipei City, 244, Taiwan",New Taipei City,New Taipei City,Linkou District,新北市
121,1075,Private,技專校院,文藻學校財團法人文藻外語大學,Wenzao Ursuline University of Languages,80793,22.67007,120.31809,"No. 900, Min Zu 1st Rd., Sanmin District, Kaohsiung City, 807, Taiwan",Kaohsiung City,Kaohsiung City,Sanmin District,高雄市
122,1076,Private,技專校院,華夏學校財團法人華夏科技大學,Hwa Hsia University of Technology,23568,24.98059,121.50773,"No. 111, Gong Zhuan Rd., Zhonghe District, New Taipei City, 235, Taiwan",New Taipei City,New Taipei City,Zhonghe District,新北市
123,1077,Private,技專校院,慈濟學校財團法人慈濟科技大學,Tzu Chi University of Science and Technology,97005,23.99735,121.56494,"No. 880, Sec 2, Jian Guo Rd., Guo Fu Vil., Hualien City, Hualien County 970, Taiwan",Hualien City,Hualien County,Guo Fu Vil.,花蓮縣
124,1078,Private,技專校院,致理學校財團法人致理科技大學,Chihlee University of Technology,22050,25.02085,121.46523,"No. 313, Sec 1, Wen Hua Rd., Banqiao District, New Taipei City, 220, Taiwan",New Taipei City,New Taipei City,Banqiao District,新北市
125,1079,Private,一般大學,康寧學校財團法人康寧大學,University of Kang Ning,11485,25.07518,121.61007,"No. 137, Lane 75, Sec 3, Kang Ning Rd., Neihu District, Taipei City, 114, Taiwan",Taipei City,Taipei City,Neihu District,臺北市
126,1080,Private,技專校院,宏國學校財團法人宏國德霖科技大學,Hungkuo Delin University of Technology,23654,24.97353,121.45644,"No. 1, Lane 380, Ching Yun Rd., Tucheng District, New Taipei City, 236, Taiwan",New Taipei City,New Taipei City,Tucheng District,新北市
127,1081,Private,技專校院,東方學校財團法人東方設計大學,TungFang Design University,82941,22.87973,120.24703,"No. 110, Dong Fang Rd., Hunei District, Kaohsiung City, 829, Taiwan",Kaohsiung City,Kaohsiung City,Hunei District,高雄市
128,1082,Private,技專校院,崇右學校財團法人崇右影藝科技大學,Chungyu University of Film and Arts,20103,25.13173,121.75377,"No. 40, Yi 7th Rd., Xinyi District, Keelung City, 201, Taiwan",Keelung City,Keelung City,Xinyi District,基隆市
129,1083,Private,技專校院,台北海洋學校財團法人台北海洋科技大學,Taipei University of Marine Technology,25172,25.19218,121.42585,"No. 150, Sec 3, Bin Hai Rd., Tamsui District, New Taipei City, 251, Taiwan",New Taipei City,New Taipei City,Tamsui District,新北市
130,1125,Private,一般大學,中信金融管理學院,CTBC Business School,70963,23.06386,120.16221,"No. 600, Sec 3, Tai Jiang Blvd., Annan District, Tainan City, 709, Taiwan",Tainan City,Tainan City,Annan District,臺南市
131,1148,Private,技專校院,大漢技術學院,Dahan Institute of Technology,97145,24.03971,121.6057,"No. 1, Shu Ren St., Da Han Vil., Xincheng Township, Hualien County 971, Taiwan",Xincheng Township,Hualien County,Da Han Vil.,花蓮縣
132,1159,Private,技專校院,和春技術學院,Fortune Institute of Technology,83160,22.6049705,120.4277995,"No. 273, Zhi Xue Rd., Daliao District, Kaohsiung City, 831, Taiwan",Kaohsiung City,Kaohsiung City,Daliao District,高雄市
133,1166,Private,技專校院,亞東技術學院,Oriental Institute of Technology,22061,24.99518,121.4531,"No. 58, Sec 2, Si Chuan Rd., Banqiao District, New Taipei City, 220, Taiwan",New Taipei City,New Taipei City,Banqiao District,新北市
134,1168,Private,技專校院,南亞科技學校財團法人南亞技術學院,Nanya Institute of Technology,32091,24.9374,121.25189,"No. 414, Sec 3, Jung Shan E. Rd., Zhongli District, Taoyuan City, 320, Taiwan",Taoyuan City,Taoyuan City,Zhongli District,桃園市
135,1176,Private,一般大學,稻江科技暨管理學院,TOKO  UNIVERSITY,61363,23.44791,120.28882,"No. 51, Sec 2, Syue Fu Rd., Ren He Vil., Puzi City, Chiayi County 613, Taiwan",Puzi City,Chiayi County,Ren He Vil.,嘉義縣
136,1182,Private,技專校院,蘭陽技術學院,Lan Yang Institute of Technology,26141,24.86449,121.81803,"No. 79, Fu Sing Rd., Ba Ya Vil., Toucheng Township, Yilan County 261, Taiwan",Toucheng Township,Yilan County,Ba Ya Vil.,宜蘭縣
137,1183,Private,技專校院,黎明技術學院,Lee-Ming Institute of Technology,24305,25.06589,121.41961,"No. 22, Sec 3, Tai Lin Rd., Taishan District, New Taipei City, 243, Taiwan",New Taipei City,New Taipei City,Taishan District,新北市
138,1185,Private,技專校院,經國管理暨健康學院,CHING KUO INSTITUTE OF MANAGEMENT AND HEALTH,20301,25.14998,121.72784,"No. 336, Fu Xing Rd., Zhongshan District, Keelung City, 203, Taiwan",Keelung City,Keelung City,Zhongshan District,基隆市
139,1188,Private,技專校院,大同技術學院,Tatung Institute of Technology,60005,23.46949,120.46496,"No. 253, Mi Tuo Rd., East District, Chiayi City, 600, Taiwan",Chiayi City,Chiayi City,East District,嘉義市
140,1192,Private,技專校院,臺灣觀光學院,The Culinary Institute of Taiwan,97448,23.85689,121.4862,"No. 268, Zhong Xing St., Feng Shan Vil., Shoufeng Township, Hualien County 974, Taiwan",Shoufeng Township,Hualien County,Feng Shan Vil.,花蓮縣
141,1195,Private,一般大學,馬偕學校財團法人馬偕醫學院,MacKay Medical College,25245,25.25292,121.49669,"No. 46, Sec 3, Zhong Zheng Rd., Sanzhi District, New Taipei City, 252, Taiwan",New Taipei City,New Taipei City,Sanzhi District,新北市
142,1196,Private,一般大學,法鼓學校財團法人法鼓文理學院,Dharma Drum Institute of Liberal Art,20842,25.24244,121.61478,"No. 650, Fa Gu Rd., Jinshan District, New Taipei City, 208, Taiwan",New Taipei City,New Taipei City,Jinshan District,新北市
143,1282,Private,技專校院,馬偕學校財團法人馬偕醫護管理專科學校,"MacKay Junior College of Medicine, Nursing, and Management",25245,25.25292,121.49669,"No. 46, Sec 3, Zhong Zheng Rd., Sanzhi District, New Taipei City, 252, Taiwan",New Taipei City,New Taipei City,Sanzhi District,新北市
144,1283,Private,技專校院,仁德醫護管理專科學校,"Jen-Teh Junior College of Medicine, Nursing and Management",35664,24.62365,120.78197,"No. 79-9, 砂崙湖, XI Zhou Vil., Houlong Township, Miaoli County 356, Taiwan",Houlong Township,Miaoli County,XI Zhou Vil.,苗栗縣
145,1284,Private,技專校院,樹人醫護管理專科學校,Shu-Zen Junior College of Medicine and Management,82144,22.88268,120.26108,"No. 452, Huan Qiu Rd., Lujhu District, Kaohsiung City, 821, Taiwan",Kaohsiung City,Kaohsiung City,Lujhu District,高雄市
146,1285,Private,技專校院,慈惠醫護管理專科學校,TZU HUI Institute of Technology,92641,22.48803,120.48947,"No. 367, San Min Rd., Qi Kuai Vil., Nanzhou Township, Pingtung County 926, Taiwan",Nanzhou Township,Pingtung County,Qi Kuai Vil.,屏東縣
147,1286,Private,技專校院,耕莘健康管理專科學校,Cardinal Tien Junior College of Healthcare And Management,23143,24.97768,121.53635,"No. 112, Min Zu Rd., Xindian District, New Taipei City, 231, Taiwan",New Taipei City,New Taipei City,Xindian District,新北市
148,1287,Private,技專校院,敏惠醫護管理專科學校,Min-Hwei Junior College of Health Care Management,73658,23.27988,120.3297,"No. 1116, Sec 2, Jhong Shan E. Rd., Liouying District, Tainan City, 736, Taiwan",Tainan City,Tainan City,Liouying District,臺南市
149,1289,Private,技專校院,育英醫護管理專科學校,Yuh-Ing Junior College of Health Care & Management,80776,22.6503,120.3329,"No. 15, Lane 432, Da Chang 2nd Rd., Sanmin District, Kaohsiung City, 807, Taiwan",Kaohsiung City,Kaohsiung City,Sanmin District,高雄市
150,1291,Private,技專校院,聖母醫護管理專科學校,"St. Mary&acute;s Junior College of Medicine, Nursing and Management",26647,24.66496,121.70301,"No. 100, Lane 265, Sec 2, San Sing Rd., Da Yin Vil., Sanxing Township, Yilan County 266, Taiwan",Sanxing Township,Yilan County,Da Yin Vil.,宜蘭縣
151,1292,Private,技專校院,新生醫護管理專科學校,Hsin Sheng Junior College of Medical Care and Management,32544,24.83257,121.20662,"No. 418, Sec Gao Ping, Jung Feng Rd., Longtan District, Taoyuan City, 325, Taiwan",Taoyuan City,Taoyuan City,Longtan District,桃園市
152,1293,Private,技專校院,崇仁醫護管理專科學校,"Chung-Jen Junior College of Nursing, Health Sciences and Management",62241,23.62,120.45875,"No. 1-10, Hu Bei Vil., Da Hu, Hu bei Vil., Dalin Township, Chiayi County 622, Taiwan",Dalin Township,Chiayi County,Hu bei Vil.,嘉義縣
153,1R02,Private,宗教研修學院,學校財團法人中華浸信會基督教台灣浸會神學院,TAIWAN BAPTIST CHRISTIAN SEMINARY,11045,25.02448,121.56695,"No. 1, Lane 394, Wu Xing St., Xinyi District, Taipei City, 110, Taiwan",Taipei City,Taipei City,Xinyi District,臺北市
154,1R03,Private,宗教研修學院,臺北基督學院,Christ''s College Taipei,25162,25.13129,121.46155,"No. 51, Zi Qiang Rd., Tamsui District, New Taipei City, 251, Taiwan",New Taipei City,New Taipei City,Tamsui District,新北市
155,1R04,Private,宗教研修學院,財團法人一貫道天皇基金會一貫道天皇學院,I-Kuan Tao College,84442,22.8889,120.61662,"No. 81, San Min Rd., Liouguei District, Kaohsiung City, 844, Taiwan",Kaohsiung City,Kaohsiung City,Liouguei District,高雄市
156,1R05,Private,宗教研修學院,台神學校財團法人台灣神學研究學院,Taiwan Graduate School of Theology,11149,25.10163,121.5409,"No. 20, Lane 2, Sec 2, Yang De Blvd., Shilin District, Taipei City, 111, Taiwan",Taipei City,Taipei City,Shilin District,臺北市
157,1R06,Private,宗教研修學院,一貫道崇德學院,i.k.t chong-de school,54552,23.9604,121.00169,"No. 25-8, Li Yu Rd., Wu Gong Vil., Puli Township, Nantou County 545, Taiwan",Puli Township,Nantou County,Wu Gong Vil.,南投縣
158,1R07,Private,宗教研修學院,台灣基督長老教會南神神學院,Tainan Theological College,70142,22.98829,120.21394,"No. 117, Sec 1, Dong Men Rd., East District, Tainan City, 701, Taiwan",Tainan City,Tainan City,East District,臺南市
159,3002,Public,一般大學,臺北市立大學,University of Taipei,10048,25.03556,121.51357,"No. 1, Ai Guo W. Rd., Zhongzheng District, Taipei City, 100, Taiwan",Taipei City,Taipei City,Zhongzheng District,臺北市
160,3A01,Public,空中大學,高雄市立空中大學,Open University of Kaohsiung,81249,22.56642,120.34565,"No. 436, Da Ye N. Rd., Siaogang District, Kaohsiung City, 812, Taiwan",Kaohsiung City,Kaohsiung City,Siaogang District,高雄市
